INFO | 2018-10-08 12:13:42,426 | bootLogin | main net.sourceforge.cobertura.coveragedata.CoverageDataFileHandler | Cobertura: Loaded information on 121 classes.
INFO | 2018-10-08 12:13:43,408 | bootLogin | main net.sourceforge.cobertura.coveragedata.CoverageDataFileHandler | Cobertura: Saved information on 121 classes.
INFO | 2018-10-08 12:13:43,689 | bootLogin | main net.sourceforge.cobertura.coveragedata.CoverageDataFileHandler | Cobertura: Saved information on 121 classes.
INFO | 2018-10-08 12:24:34,071 | bootLogin | restartedMain org.springframework.context.annotation.AnnotationConfigApplicationContext | Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@36e14367: startup date [Mon Oct 08 12:24:34 CST 2018]; root of context hierarchy
INFO | 2018-10-08 12:24:34,091 | bootLogin | background-preinit org.hibernate.validator.internal.util.Version | HV000001: Hibernate Validator 5.3.6.Final
INFO | 2018-10-08 12:24:34,379 | bootLogin | restartedMain org.springframework.beans.factory.annotation.AutowiredAnnotationBeanPostProcessor | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
INFO | 2018-10-08 12:24:34,438 | bootLogin | restartedMain org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$d5327d63] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO | 2018-10-08 12:24:35,396 | bootLogin | restartedMain org.springframework.cloud.config.client.ConfigServicePropertySourceLocator | Fetching config from server at: http://localhost:8888
WARN | 2018-10-08 12:24:36,521 | bootLogin | restartedMain org.springframework.cloud.config.client.ConfigServicePropertySourceLocator | Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/application/default": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
INFO | 2018-10-08 12:24:36,523 | bootLogin | restartedMain com.cxgm.CxgmApplication | No active profile set, falling back to default profiles: default
INFO | 2018-10-08 12:24:36,548 | bootLogin | restartedMain org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext | Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@7953c1ec: startup date [Mon Oct 08 12:24:36 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@36e14367
